"Bivalirudin";"OIRCOABEOLEUMC-GEJPAHFPSA-N";"Prothrombin";"F2";"yes";"inhibitor"
"Nedocromil";"RQTOOFIXOKYGAN-UHFFFAOYSA-N";"Cysteinyl leukotriene receptor 1";"CYSLTR1";"yes";"suppressor"
"Nedocromil";"RQTOOFIXOKYGAN-UHFFFAOYSA-N";"Cysteinyl leukotriene receptor 1";"CYSLTR1";"yes";"suppressor"
"Nedocromil";"RQTOOFIXOKYGAN-UHFFFAOYSA-N";"Cysteinyl leukotriene receptor 1";"CYSLTR1";"yes";"suppressor"
"Nedocromil";"RQTOOFIXOKYGAN-UHFFFAOYSA-N";"Cysteinyl leukotriene receptor 2";"CYSLTR2";"yes";"antagonist"
"Nedocromil";"RQTOOFIXOKYGAN-UHFFFAOYSA-N";"Cysteinyl leukotriene receptor 2";"CYSLTR2";"yes";"antagonist"
"Nedocromil";"RQTOOFIXOKYGAN-UHFFFAOYSA-N";"Cysteinyl leukotriene receptor 2";"CYSLTR2";"yes";"antagonist"
"Nedocromil";"RQTOOFIXOKYGAN-UHFFFAOYSA-N";"fMet-Leu-Phe receptor";"FPR1";"unknown";"antagonist"
"Nedocromil";"RQTOOFIXOKYGAN-UHFFFAOYSA-N";"fMet-Leu-Phe receptor";"FPR1";"unknown";"antagonist"
"Nedocromil";"RQTOOFIXOKYGAN-UHFFFAOYSA-N";"fMet-Leu-Phe receptor";"FPR1";"unknown";"antagonist"
"Nedocromil";"RQTOOFIXOKYGAN-UHFFFAOYSA-N";"Prostaglandin D2 receptor";"PTGDR";"unknown";"unknown"
"Nedocromil";"RQTOOFIXOKYGAN-UHFFFAOYSA-N";"Prostaglandin D2 receptor";"PTGDR";"unknown";"unknown"
"Nedocromil";"RQTOOFIXOKYGAN-UHFFFAOYSA-N";"Prostaglandin D2 receptor";"PTGDR";"unknown";"unknown"
"Nedocromil";"RQTOOFIXOKYGAN-UHFFFAOYSA-N";"Heat shock protein HSP 90-alpha";"HSP90AA1";"unknown";""
"Nedocromil";"RQTOOFIXOKYGAN-UHFFFAOYSA-N";"Heat shock protein HSP 90-alpha";"HSP90AA1";"unknown";""
"Nedocromil";"RQTOOFIXOKYGAN-UHFFFAOYSA-N";"Heat shock protein HSP 90-alpha";"HSP90AA1";"unknown";""
"Norethisterone";"VIKNJXKGJWUCNN-XGXHKTLJSA-N";"Progesterone receptor";"PGR";"unknown";"agonist"
"Norethisterone";"VIKNJXKGJWUCNN-XGXHKTLJSA-N";"Progesterone receptor";"PGR";"unknown";"agonist"
"Norethisterone";"VIKNJXKGJWUCNN-XGXHKTLJSA-N";"Progesterone receptor";"PGR";"unknown";"agonist"
"Norethisterone";"VIKNJXKGJWUCNN-XGXHKTLJSA-N";"Progesterone receptor";"PGR";"unknown";"agonist"
"Norethisterone";"VIKNJXKGJWUCNN-XGXHKTLJSA-N";"Progesterone receptor";"PGR";"unknown";"agonist"
"Norethisterone";"VIKNJXKGJWUCNN-XGXHKTLJSA-N";"Progesterone receptor";"PGR";"unknown";"agonist"
"Adefovir Dipivoxil";"WOZSCQDILHKSGG-UHFFFAOYSA-N";"DNA polymerase/reverse transcriptase";"P";"yes";"other"
"Azatadine";"SEBMTIQKRHYNIT-UHFFFAOYSA-N";"Histamine H1 receptor";"HRH1";"yes";"antagonist"
"Clodronic Acid";"ACSIXWWBWUQEHA-UHFFFAOYSA-N";"ADP/ATP translocase 1";"SLC25A4";"yes";"inhibitor"
"Clodronic Acid";"ACSIXWWBWUQEHA-UHFFFAOYSA-N";"ADP/ATP translocase 2";"SLC25A5";"yes";"inhibitor"
"Clodronic Acid";"ACSIXWWBWUQEHA-UHFFFAOYSA-N";"ADP/ATP translocase 3";"SLC25A6";"yes";"inhibitor"
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"Sodium channel protein type 10 subunit alpha";"SCN10A";"yes";"inhibitor"
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"Sodium channel protein type 10 subunit alpha";"SCN10A";"yes";"inhibitor"
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"Sodium channel protein type 10 subunit alpha";"SCN10A";"yes";"inhibitor"
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"Sodium channel protein type 10 subunit alpha";"SCN10A";"yes";"inhibitor"
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"Glutamate receptor ionotropic, NMDA 3A";"GRIN3A";"yes";"antagonist"
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"Glutamate receptor ionotropic, NMDA 3A";"GRIN3A";"yes";"antagonist"
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"Glutamate receptor ionotropic, NMDA 3A";"GRIN3A";"yes";"antagonist"
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"Glutamate receptor ionotropic, NMDA 3A";"GRIN3A";"yes";"antagonist"
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"5-hydroxytryptamine receptor 3A";"HTR3A";"yes";"antagonist"
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"5-hydroxytryptamine receptor 3A";"HTR3A";"yes";"antagonist"
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"5-hydroxytryptamine receptor 3A";"HTR3A";"yes";"antagonist"
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"5-hydroxytryptamine receptor 3A";"HTR3A";"yes";"antagonist"
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"Sodium-dependent dopamine transporter";"SLC6A3";"yes";"inhibitor"
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"Sodium-dependent dopamine transporter";"SLC6A3";"yes";"inhibitor"
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"Sodium-dependent dopamine transporter";"SLC6A3";"yes";"inhibitor"
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"Sodium-dependent dopamine transporter";"SLC6A3";"yes";"inhibitor"
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"Neuronal acetylcholine receptor subunit alpha-2";"CHRNA2";"unknown";"antagonist"
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"Neuronal acetylcholine receptor subunit alpha-2";"CHRNA2";"unknown";"antagonist"
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"Neuronal acetylcholine receptor subunit alpha-2";"CHRNA2";"unknown";"antagonist"
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"Neuronal acetylcholine receptor subunit alpha-2";"CHRNA2";"unknown";"antagonist"
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"Calcium-activated potassium channel";"KCNMA1";"unknown";"binder"
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"Calcium-activated potassium channel";"KCNMA1";"unknown";"binder"
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"Calcium-activated potassium channel";"KCNMA1";"unknown";"binder"
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"Calcium-activated potassium channel";"KCNMA1";"unknown";"binder"
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"Calcium-activated potassium channel";"KCNMB1";"unknown";"binder"
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"Calcium-activated potassium channel";"KCNMB1";"unknown";"binder"
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"Calcium-activated potassium channel";"KCNMB1";"unknown";"binder"
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"Calcium-activated potassium channel";"KCNMB1";"unknown";"binder"
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"Calcium-activated potassium channel";"KCNMB2";"unknown";"binder"
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"Calcium-activated potassium channel";"KCNMB2";"unknown";"binder"
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"Calcium-activated potassium channel";"KCNMB2";"unknown";"binder"
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"Calcium-activated potassium channel";"KCNMB2";"unknown";"binder"
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"Calcium-activated potassium channel";"KCNMB3";"unknown";"binder"
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"Calcium-activated potassium channel";"KCNMB3";"unknown";"binder"
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"Calcium-activated potassium channel";"KCNMB3";"unknown";"binder"
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"Calcium-activated potassium channel";"KCNMB3";"unknown";"binder"
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"Calcium-activated potassium channel";"KCNMB4";"unknown";"binder"
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"Calcium-activated potassium channel";"KCNMB4";"unknown";"binder"
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"Calcium-activated potassium channel";"KCNMB4";"unknown";"binder"
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"Calcium-activated potassium channel";"KCNMB4";"unknown";"binder"
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"Calcium-activated potassium channel";"KCNN4";"unknown";"binder"
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"Calcium-activated potassium channel";"KCNN4";"unknown";"binder"
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"Calcium-activated potassium channel";"KCNN4";"unknown";"binder"
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"Calcium-activated potassium channel";"KCNN4";"unknown";"binder"
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"Calcium-activated potassium channel";"KCNN1";"unknown";"binder"
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"Calcium-activated potassium channel";"KCNN1";"unknown";"binder"
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"Calcium-activated potassium channel";"KCNN1";"unknown";"binder"
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"Calcium-activated potassium channel";"KCNN1";"unknown";"binder"
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"Calcium-activated potassium channel";"KCNN2";"unknown";"binder"
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"Calcium-activated potassium channel";"KCNN2";"unknown";"binder"
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"Calcium-activated potassium channel";"KCNN2";"unknown";"binder"
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"Calcium-activated potassium channel";"KCNN2";"unknown";"binder"
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"Calcium-activated potassium channel";"KCNN3";"unknown";"binder"
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"Calcium-activated potassium channel";"KCNN3";"unknown";"binder"
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"Calcium-activated potassium channel";"KCNN3";"unknown";"binder"
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"Calcium-activated potassium channel";"KCNN3";"unknown";"binder"
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"Monoamine oxidase";"MAOA";"unknown";""
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"Monoamine oxidase";"MAOA";"unknown";""
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"Monoamine oxidase";"MAOA";"unknown";""
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"Monoamine oxidase";"MAOA";"unknown";""
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"Monoamine oxidase";"MAOB";"unknown";""
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"Monoamine oxidase";"MAOB";"unknown";""
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"Monoamine oxidase";"MAOB";"unknown";""
"Procaine";"MFDFERRIHVXMIY-UHFFFAOYSA-N";"Monoamine oxidase";"MAOB";"unknown";""
"Lisinopril";"RLAWWYSOJDYHDC-BZSNNMDCSA-N";"Angiotensin-converting enzyme";"ACE";"yes";"inhibitor"
"Lisinopril";"RLAWWYSOJDYHDC-BZSNNMDCSA-N";"Angiotensin-converting enzyme";"ACE";"yes";"inhibitor"
"Lisinopril";"RLAWWYSOJDYHDC-BZSNNMDCSA-N";"Angiotensin-converting enzyme";"ACE";"yes";"inhibitor"
"Lisinopril";"RLAWWYSOJDYHDC-BZSNNMDCSA-N";"Angiotensin-converting enzyme";"ACE";"yes";"inhibitor"
"Methoxamine";"WJAJPNHVVFWKKL-UHFFFAOYSA-N";"Alpha-1A adrenergic receptor";"ADRA1A";"yes";"agonist"
"Methoxamine";"WJAJPNHVVFWKKL-UHFFFAOYSA-N";"Alpha-1B adrenergic receptor";"ADRA1B";"unknown";"agonist"
"Methoxamine";"WJAJPNHVVFWKKL-UHFFFAOYSA-N";"Alpha-1D adrenergic receptor";"ADRA1D";"unknown";"binder"
"Imiquimod";"DOUYETYNHWVLEO-UHFFFAOYSA-N";"Toll-like receptor 7";"TLR7";"yes";"agonist"
"Imiquimod";"DOUYETYNHWVLEO-UHFFFAOYSA-N";"Toll-like receptor 8";"TLR8";"unknown";"agonist"
"Homatropine Methylbromide";"FUFVKLQESJNNAN-UHFFFAOYSA-M";"Muscarinic acetylcholine receptor M2";"CHRM2";"yes";"antagonist"
"Homatropine Methylbromide";"FUFVKLQESJNNAN-UHFFFAOYSA-M";"Muscarinic acetylcholine receptor M1";"CHRM1";"yes";"antagonist"
"Homatropine Methylbromide";"FUFVKLQESJNNAN-UHFFFAOYSA-M";"Muscarinic acetylcholine receptor M4";"CHRM4";"yes";"antagonist"
"Homatropine Methylbromide";"FUFVKLQESJNNAN-UHFFFAOYSA-M";"Muscarinic acetylcholine receptor M5";"CHRM5";"yes";"antagonist"
"Homatropine Methylbromide";"FUFVKLQESJNNAN-UHFFFAOYSA-M";"Muscarinic acetylcholine receptor M3";"CHRM3";"yes";"antagonist"
"Trimipramine";"ZSCDBOWYZJWBIY-UHFFFAOYSA-N";"Sodium-dependent serotonin transporter";"SLC6A4";"yes";"inhibitor"
"Trimipramine";"ZSCDBOWYZJWBIY-UHFFFAOYSA-N";"Sodium-dependent noradrenaline transporter";"SLC6A2";"yes";"inhibitor"
"Trimipramine";"ZSCDBOWYZJWBIY-UHFFFAOYSA-N";"Sodium-dependent dopamine transporter";"SLC6A3";"unknown";"inhibitor"
"Trimipramine";"ZSCDBOWYZJWBIY-UHFFFAOYSA-N";"5-hydroxytryptamine receptor 2A";"HTR2A";"unknown";"agonist"
"Trimipramine";"ZSCDBOWYZJWBIY-UHFFFAOYSA-N";"5-hydroxytryptamine receptor 1A";"HTR1A";"unknown";"antagonist"
"Trimipramine";"ZSCDBOWYZJWBIY-UHFFFAOYSA-N";"Alpha-1A adrenergic receptor";"ADRA1A";"unknown";"antagonist"
"Trimipramine";"ZSCDBOWYZJWBIY-UHFFFAOYSA-N";"Alpha-1B adrenergic receptor";"ADRA1B";"unknown";"antagonist"
"Trimipramine";"ZSCDBOWYZJWBIY-UHFFFAOYSA-N";"D(2) dopamine receptor";"DRD2";"unknown";"other/unknown"
"Trimipramine";"ZSCDBOWYZJWBIY-UHFFFAOYSA-N";"Alpha-2B adrenergic receptor";"ADRA2B";"unknown";"other/unknown"
"Trimipramine";"ZSCDBOWYZJWBIY-UHFFFAOYSA-N";"Histamine H1 receptor";"HRH1";"unknown";"antagonist"
"Trimipramine";"ZSCDBOWYZJWBIY-UHFFFAOYSA-N";"5-hydroxytryptamine receptor 2C";"HTR2C";"unknown";"antagonist"
"Trimipramine";"ZSCDBOWYZJWBIY-UHFFFAOYSA-N";"5-hydroxytryptamine receptor 3A";"HTR3A";"unknown";"binder"
"Trimipramine";"ZSCDBOWYZJWBIY-UHFFFAOYSA-N";"5-hydroxytryptamine receptor 1D";"HTR1D";"unknown";"binder"
"Trimipramine";"ZSCDBOWYZJWBIY-UHFFFAOYSA-N";"Alpha-2A adrenergic receptor";"ADRA2A";"unknown";"desensitize the target"
"Trimipramine";"ZSCDBOWYZJWBIY-UHFFFAOYSA-N";"D(1) dopamine receptor";"DRD1";"unknown";"binder"
"Trimipramine";"ZSCDBOWYZJWBIY-UHFFFAOYSA-N";"D(1) dopamine receptor";"DRD5";"unknown";"binder"
"Trimipramine";"ZSCDBOWYZJWBIY-UHFFFAOYSA-N";"Beta adrenergic receptor";"ADRB1";"unknown";"binder"
"Trimipramine";"ZSCDBOWYZJWBIY-UHFFFAOYSA-N";"Beta adrenergic receptor";"ADRB2";"unknown";"binder"
"Trimipramine";"ZSCDBOWYZJWBIY-UHFFFAOYSA-N";"Beta adrenergic receptor";"ADRB3";"unknown";"binder"
"Trimipramine";"ZSCDBOWYZJWBIY-UHFFFAOYSA-N";"Muscarinic acetylcholine receptor";"CHRM1";"unknown";"binder"
"Trimipramine";"ZSCDBOWYZJWBIY-UHFFFAOYSA-N";"Muscarinic acetylcholine receptor";"CHRM2";"unknown";"binder"
"Trimipramine";"ZSCDBOWYZJWBIY-UHFFFAOYSA-N";"Muscarinic acetylcholine receptor";"CHRM3";"unknown";"binder"
"Trimipramine";"ZSCDBOWYZJWBIY-UHFFFAOYSA-N";"Muscarinic acetylcholine receptor";"CHRM4";"unknown";"binder"
"Trimipramine";"ZSCDBOWYZJWBIY-UHFFFAOYSA-N";"Muscarinic acetylcholine receptor";"CHRM5";"unknown";"binder"
"Trimipramine";"ZSCDBOWYZJWBIY-UHFFFAOYSA-N";"5-hydroxytryptamine receptor 1C";"Htr2c";"unknown";"binder"
"Nitroglycerin";"SNIOPGDIGTZGOP-UHFFFAOYSA-N";"Atrial natriuretic peptide receptor 1";"NPR1";"yes";"agonist"
"Nitroglycerin";"SNIOPGDIGTZGOP-UHFFFAOYSA-N";"Atrial natriuretic peptide receptor 1";"NPR1";"yes";"agonist"
"Nitroglycerin";"SNIOPGDIGTZGOP-UHFFFAOYSA-N";"Atrial natriuretic peptide receptor 1";"NPR1";"yes";"agonist"
"Rocuronium";"YXRDKMPIGHSVRX-OOJCLDBCSA-N";"Neuronal acetylcholine receptor subunit alpha-2";"CHRNA2";"yes";"antagonist"
"Rocuronium";"YXRDKMPIGHSVRX-OOJCLDBCSA-N";"Muscarinic acetylcholine receptor M2";"CHRM2";"yes";"antagonist"
"Rocuronium";"YXRDKMPIGHSVRX-OOJCLDBCSA-N";"5-hydroxytryptamine receptor 3A";"HTR3A";"unknown";"antagonist"
"Thiabendazole";"WJCNZQLZVWNLKY-UHFFFAOYSA-N";"Fumarate reductase flavoprotein subunit";"frdA";"yes";"inhibitor"
"Thiabendazole";"WJCNZQLZVWNLKY-UHFFFAOYSA-N";"Fumarate reductase flavoprotein subunit";"frdA";"yes";"inhibitor"
"Nateglinide";"OELFLUMRDSZNSF-BRWVUGGUSA-N";"ATP-binding cassette sub-family C member 8";"ABCC8";"yes";"inhibitor"
"Nateglinide";"OELFLUMRDSZNSF-BRWVUGGUSA-N";"Peroxisome proliferator-activated receptor gamma";"PPARG";"unknown";"agonist"
"Pralidoxime";"JBKPUQTUERUYQE-UHFFFAOYSA-O";"Acetylcholinesterase";"ACHE";"yes";"activator"
"Pralidoxime";"JBKPUQTUERUYQE-UHFFFAOYSA-O";"Cholinesterase";"BCHE";"yes";"activator"
"Risperidone";"RAPZEAPATHNIPO-UHFFFAOYSA-N";"5-hydroxytryptamine receptor 2A";"HTR2A";"yes";"antagonist"
"Risperidone";"RAPZEAPATHNIPO-UHFFFAOYSA-N";"D(2) dopamine receptor";"DRD2";"yes";"antagonist"
"Risperidone";"RAPZEAPATHNIPO-UHFFFAOYSA-N";"D(3) dopamine receptor";"DRD3";"unknown";"antagonist"
"Risperidone";"RAPZEAPATHNIPO-UHFFFAOYSA-N";"D(4) dopamine receptor";"DRD4";"unknown";"antagonist"
"Risperidone";"RAPZEAPATHNIPO-UHFFFAOYSA-N";"Alpha-1A adrenergic receptor";"ADRA1A";"unknown";"antagonist"
"Risperidone";"RAPZEAPATHNIPO-UHFFFAOYSA-N";"Alpha-1B adrenergic receptor";"ADRA1B";"unknown";"antagonist"
"Risperidone";"RAPZEAPATHNIPO-UHFFFAOYSA-N";"5-hydroxytryptamine receptor 1D";"HTR1D";"unknown";"antagonist"
"Risperidone";"RAPZEAPATHNIPO-UHFFFAOYSA-N";"Histamine H1 receptor";"HRH1";"unknown";"antagonist"
"Risperidone";"RAPZEAPATHNIPO-UHFFFAOYSA-N";"Alpha-2A adrenergic receptor";"ADRA2A";"unknown";"antagonist"
"Risperidone";"RAPZEAPATHNIPO-UHFFFAOYSA-N";"Alpha-2B adrenergic receptor";"ADRA2B";"unknown";"antagonistagonist"
"Risperidone";"RAPZEAPATHNIPO-UHFFFAOYSA-N";"Alpha-2C adrenergic receptor";"ADRA2C";"unknown";"agonist"
"Risperidone";"RAPZEAPATHNIPO-UHFFFAOYSA-N";"5-hydroxytryptamine receptor 2C";"HTR2C";"unknown";"antagonist"
"Risperidone";"RAPZEAPATHNIPO-UHFFFAOYSA-N";"5-hydroxytryptamine receptor 1A";"HTR1A";"unknown";"antagonist"
"Risperidone";"RAPZEAPATHNIPO-UHFFFAOYSA-N";"D(1A) dopamine receptor";"DRD1";"unknown";"antagonist"
"Risperidone";"RAPZEAPATHNIPO-UHFFFAOYSA-N";"5-hydroxytryptamine receptor 7";"HTR7";"unknown";""
"Naftifine";"OZGNYLLQHRPOBR-DHZHZOJOSA-N";"Squalene monooxygenase";"SQLE";"yes";"inhibitor"
"Esomeprazole";"SUBDBMMJDZJVOS-DEOSSOPVSA-N";"Potassium-transporting ATPase alpha chain 1";"ATP4A";"yes";"inhibitor"
"Esomeprazole";"SUBDBMMJDZJVOS-DEOSSOPVSA-N";"Potassium-transporting ATPase alpha chain 1";"ATP4A";"yes";"inhibitor"
"Esomeprazole";"SUBDBMMJDZJVOS-DEOSSOPVSA-N";"Potassium-transporting ATPase alpha chain 1";"ATP4A";"yes";"inhibitor"
"Meclizine";"OCJYIGYOJCODJL-UHFFFAOYSA-N";"Histamine H1 receptor";"HRH1";"yes";"antagonist"
"Meclizine";"OCJYIGYOJCODJL-UHFFFAOYSA-N";"Histamine H1 receptor";"HRH1";"yes";"antagonist"
"Meclizine";"OCJYIGYOJCODJL-UHFFFAOYSA-N";"Nuclear receptor subfamily 1 group I member 3";"NR1I3";"unknown";"inverse agonist"
"Meclizine";"OCJYIGYOJCODJL-UHFFFAOYSA-N";"Nuclear receptor subfamily 1 group I member 3";"NR1I3";"unknown";"inverse agonist"
"Pentamidine";"XDRYMKDFEDOLFX-UHFFFAOYSA-N";"tRNA (cytosine(38)-C(5))-methyltransferase";"TRDMT1";"unknown";"other"
"Hetacillin";"DXVUYOAEDJXBPY-NFFDBFGFSA-N";"Penicillin-binding protein 2a";"pbp2a";"yes";"inhibitor"
"Hetacillin";"DXVUYOAEDJXBPY-NFFDBFGFSA-N";"Penicillin-binding protein 1b";"pbp1b";"yes";"inhibitor"
"Hetacillin";"DXVUYOAEDJXBPY-NFFDBFGFSA-N";"Penicillin-binding protein 3";"pbp3";"yes";"inhibitor"
"Hetacillin";"DXVUYOAEDJXBPY-NFFDBFGFSA-N";"Penicillin-binding protein 1A";"pbpA";"yes";"inhibitor"
"Hetacillin";"DXVUYOAEDJXBPY-NFFDBFGFSA-N";"Penicillin-binding protein 2B";"penA";"yes";"inhibitor"
"Riluzole";"FTALBRSUTCGOEG-UHFFFAOYSA-N";"Sodium channel protein type 5 subunit alpha";"SCN5A";"yes";"inhibitor"
"Riluzole";"FTALBRSUTCGOEG-UHFFFAOYSA-N";"Cystine/glutamate transporter";"SLC7A11";"yes";"inducer"
"Hydrocortisone";"JYGXADMDTFJGBT-VWUMJDOOSA-N";"Glucocorticoid receptor";"NR3C1";"yes";"agonist"
"Hydrocortisone";"JYGXADMDTFJGBT-VWUMJDOOSA-N";"Glucocorticoid receptor";"NR3C1";"yes";"agonist"
"Hydrocortisone";"JYGXADMDTFJGBT-VWUMJDOOSA-N";"Glucocorticoid receptor";"NR3C1";"yes";"agonist"
"Hydrocortisone";"JYGXADMDTFJGBT-VWUMJDOOSA-N";"Glucocorticoid receptor";"NR3C1";"yes";"agonist"
"Hydrocortisone";"JYGXADMDTFJGBT-VWUMJDOOSA-N";"Glucocorticoid receptor";"NR3C1";"yes";"agonist"
"Hydrocortisone";"JYGXADMDTFJGBT-VWUMJDOOSA-N";"Glucocorticoid receptor";"NR3C1";"yes";"agonist"
"Hydrocortisone";"JYGXADMDTFJGBT-VWUMJDOOSA-N";"Glucocorticoid receptor";"NR3C1";"yes";"agonist"
"Hydrocortisone";"JYGXADMDTFJGBT-VWUMJDOOSA-N";"Glucocorticoid receptor";"NR3C1";"yes";"agonist"
"Hydrocortisone";"JYGXADMDTFJGBT-VWUMJDOOSA-N";"Glucocorticoid receptor";"NR3C1";"yes";"agonist"
"Hydrocortisone";"JYGXADMDTFJGBT-VWUMJDOOSA-N";"Glucocorticoid receptor";"NR3C1";"yes";"agonist"
"Hydrocortisone";"JYGXADMDTFJGBT-VWUMJDOOSA-N";"Glucocorticoid receptor";"NR3C1";"yes";"agonist"
"Hydrocortisone";"JYGXADMDTFJGBT-VWUMJDOOSA-N";"Glucocorticoid receptor";"NR3C1";"yes";"agonist"
"Hydrocortisone";"JYGXADMDTFJGBT-VWUMJDOOSA-N";"Glucocorticoid receptor";"NR3C1";"yes";"agonist"
"Hydrocortisone";"JYGXADMDTFJGBT-VWUMJDOOSA-N";"Glucocorticoid receptor";"NR3C1";"yes";"agonist"
"Hydrocortisone";"JYGXADMDTFJGBT-VWUMJDOOSA-N";"Glucocorticoid receptor";"NR3C1";"yes";"agonist"
"Hydrocortisone";"JYGXADMDTFJGBT-VWUMJDOOSA-N";"Glucocorticoid receptor";"NR3C1";"yes";"agonist"
"Hydrocortisone";"JYGXADMDTFJGBT-VWUMJDOOSA-N";"Glucocorticoid receptor";"NR3C1";"yes";"agonist"
"Hydrocortisone";"JYGXADMDTFJGBT-VWUMJDOOSA-N";"Glucocorticoid receptor";"NR3C1";"yes";"agonist"
"Hydrocortisone";"JYGXADMDTFJGBT-VWUMJDOOSA-N";"Glucocorticoid receptor";"NR3C1";"yes";"agonist"
"Hydrocortisone";"JYGXADMDTFJGBT-VWUMJDOOSA-N";"Annexin A1";"ANXA1";"yes";"agonist"
"Hydrocortisone";"JYGXADMDTFJGBT-VWUMJDOOSA-N";"Annexin A1";"ANXA1";"yes";"agonist"
"Hydrocortisone";"JYGXADMDTFJGBT-VWUMJDOOSA-N";"Annexin A1";"ANXA1";"yes";"agonist"
"Hydrocortisone";"JYGXADMDTFJGBT-VWUMJDOOSA-N";"Annexin A1";"ANXA1";"yes";"agonist"
"Hydrocortisone";"JYGXADMDTFJGBT-VWUMJDOOSA-N";"Annexin A1";"ANXA1";"yes";"agonist"
"Hydrocortisone";"JYGXADMDTFJGBT-VWUMJDOOSA-N";"Annexin A1";"ANXA1";"yes";"agonist"
"Hydrocortisone";"JYGXADMDTFJGBT-VWUMJDOOSA-N";"Annexin A1";"ANXA1";"yes";"agonist"
"Hydrocortisone";"JYGXADMDTFJGBT-VWUMJDOOSA-N";"Annexin A1";"ANXA1";"yes";"agonist"
"Hydrocortisone";"JYGXADMDTFJGBT-VWUMJDOOSA-N";"Annexin A1";"ANXA1";"yes";"agonist"
