Common name,DrugBank ID,chembl_id
Eldecalcitol,DB05295,NA
Motexafin lutetium,DB05296,NA
Paclitaxel docosahexaenoic acid,DB05297,NA
Tetomilast,DB05298,CHEMBL332750
keyhole limpet hemocyanin,DB05299,NA
PTI-801,DB05300,NA
LAX-101,DB05301,NA
OMS-103HP,DB05303,NA
WX-G250,DB05304,NA
Cintredekin Besudotox,DB05305,NA
Alferminogene Tadenovec,DB05306,NA
CHF-1512,DB05307,NA
ANX-510,DB05308,NA
TP-508,DB05309,NA
FP-1096,DB05310,NA
Ecallantide,DB05311,NA
NVS antibody,DB05312,NA
MP4,DB05313,NA
MC-1,DB05315,NA
Pimavanserin,DB05316,CHEMBL2111101
TAK-475,DB05317,NA
oportuzumab monatox,DB05319,NA
ATG-Fresenius S,DB05320,NA
PEG-uricase,DB05321,NA
INGN 201,DB05322,NA
INGN 225,DB05325,NA
INKP-102,DB05326,NA
Ranirestat,DB05327,CHEMBL334830
VGV-1,DB05328,NA
MDX-1379,DB05329,NA
ALTU-135,DB05330,NA
Romiplostim,DB05332,NA
TC-5231,DB05333,NA
Obiltoxaximab,DB05336,NA
SOT-107,DB05337,NA
MN-305,DB05339,NA
ATL-2502,DB05340,NA
C1-INH,DB05341,NA
Arundic acid,DB05343,CHEMBL3187683
Ciliary neurotrophic factor,DB05344,NA
SO-101,DB05345,NA
WL-1002,DB05346,NA
AP-1034,DB05350,NA
Dexlansoprazole,DB05351,CHEMBL1201863
Fx-1006A,DB05352,NA
CMC 001,DB05353,NA
SR-123781A,DB05361,NA
SSR-126517E,DB05362,NA
LIC-477,DB05363,NA
ROX-888,DB05364,NA
BF-200 ALA,DB05365,NA
Actelion-1,DB05367,NA
Ragweed pollen extract,DB05368,NA
HZT-501,DB05369,NA
NOVA-22007,DB05370,NA
ACR-16,DB05371,NA
CP-945598,DB05372,NA
Rindopepimut,DB05374,NA
Chlorfenson,DB05377,CHEMBL499017
DOTMP HO-166,DB05380,NA
Histamine,DB05381,CHEMBL90
Iodine,DB05382,CHEMBL1201225
Pimagedine,DB05383,CHEMBL225304
Carbopol 974P,DB05384,NA
PRO 2000,DB05385,NA
recombinant human GM-CSF,DB05386,NA
AE-941,DB05387,NA
WF10,DB05389,NA
INS 316,DB05390,NA
liposomal prostaglandin E1,DB05391,NA
NOV-002,DB05393,NA
Corticorelin,DB05394,NA
Amibegron,DB05395,CHEMBL1193948
Albinterferon Alfa-2B,DB05396,NA
C31G,DB05398,NA
Succinobucol,DB05399,CHEMBL83626
QS-21,DB05400,NA
ME-609,DB05402,NA
CEP-1347,DB05403,NA
AZD 3355,DB05404,NA
XTL-001,DB05405,NA
GTI-2501,DB05406,NA
TBC-3711,DB05407,NA
Emricasan,DB05408,CHEMBL197672
NCX 701,DB05409,NA
NCX 1022,DB05410,NA
VB2-011,DB05411,NA
Talmapimod,DB05412,CHEMBL514201
Tifuvirtide,DB05413,NA
Pipendoxifene,DB05414,CHEMBL44426
OSI-461,DB05415,NA
GW-501516,DB05416,CHEMBL38943
GW 468816,DB05417,NA
GW 597599,DB05418,NA
ADX-10061,DB05419,NA
gallium maltolate,DB05420,NA
CP-122721,DB05421,CHEMBL319118
OPC-14523,DB05422,NA
ORG-34517,DB05423,NA
Canertinib,DB05424,CHEMBL31965
talactoferrin alpha,DB05426,NA
IDD-3,DB05427,NA
motexafin gadolinium,DB05428,NA
CAT-213,DB05429,NA
VLTS-589,DB05430,NA
MLN-977,DB05431,NA
DAS-431 IV,DB05432,NA
rGLP-1,DB05433,NA
ABT-510,DB05434,CHEMBL386115
RIGScan CR49,DB05437,NA
IDM-4,DB05438,NA
IDD-1,DB05439,NA
SRP 299,DB05440,NA
AVAC,DB05441,NA
Etiprednol dicloacetate,DB05442,CHEMBL2107614
ADL 10-0101,DB05443,NA
Iroxanadine,DB05444,CHEMBL2107433
TA-NIC,DB05445,NA
LJP 1082,DB05446,NA
AVI-4557,DB05447,NA
PX-12,DB05448,CHEMBL406050
FM-VP4,DB05449,NA
PYM50028,DB05450,NA
P54,DB05451,NA
PH-284,DB05452,NA
Paliroden,DB05454,CHEMBL2107767
SR 121463,DB05455,NA
ETC-588,DB05456,NA
OSI-7904L,DB05457,NA
Pozanicline,DB05458,CHEMBL127071
Briakinumab,DB05459,NA
Ezatiostat,DB05460,CHEMBL2110585
OPC-28326,DB05461,NA
Chlorotoxin I-131,DB05462,NA
ISS-1018,DB05463,NA
NOX-700,DB05464,NA
Tandutinib,DB05465,CHEMBL124660
R673,DB05466,NA
R667,DB05467,NA
R411,DB05468,NA
R450,DB05469,NA
VX-702,DB05470,CHEMBL1090090
SGN-30,DB05471,NA
omega interferon,DB05472,NA
QR-334,DB05473,NA
T487,DB05474,NA
Golotimod,DB05475,CHEMBL2103812
WX-UK1,DB05476,NA
MUC1 Dendritic Cell Vaccine,DB05477,NA
Pradefovir Mesylate,DB05478,CHEMBL3989658
CZEN 002,DB05479,NA
PBI-1402,DB05480,NA
Recombinant alpha 1-antitrypsin,DB05481,NA
7-ethyl-10-hydroxycamptothecin,DB05482,CHEMBL837
PCL-016,DB05483,NA
MDX-018,DB05484,NA
ADH-1,DB05485,NA
Custirsen,DB05487,NA
Technetium Tc-99m ciprofloxacin,DB05488,NA
ACA 125,DB05489,NA
T131,DB05490,NA
ATN-161,DB05491,NA
Epicept NP-1,DB05492,CHEMBL609728
NX-1207,DB05493,NA
Elacytarabine,DB05494,CHEMBL2105665
PG-530742,DB05495,NA
Otelixizumab,DB05496,NA
KW-7158,DB05498,CHEMBL289288
TAK-428,DB05499,NA
AVN-944,DB05500,NA
AMD-070,DB05501,CHEMBL518924
AG-858,DB05502,NA
NM-702,DB05505,NA
ISIS 113715,DB05506,NA
VX-765,DB05507,NA
LI-301,DB05509,NA
Huperzine-A,DB05510,NA
Piclidenoson,DB05511,CHEMBL119709
MM-093,DB05512,NA
Atiprimod,DB05513,CHEMBL103735
Cobiprostone,DB05514,CHEMBL2103799
PI-0824,DB05516,NA
Managlinat dialanetil,DB05518,CHEMBL259771
Budiodarone,DB05519,CHEMBL2105631
Mimopezil,DB05520,NA
Telaprevir,DB05521,CHEMBL231813
Pelitinib,DB05524,CHEMBL607707
EW-A-401,DB05525,NA
Mipomersen,DB05528,NA
CPG 10101,DB05530,NA
BMS-488043,DB05532,CHEMBL238103
QR-333,DB05533,NA
Alanosine,DB05540,CHEMBL452715
Brivaracetam,DB05541,CHEMBL607400
Naronapride,DB05542,CHEMBL2103858
INO-1001,DB05549,NA
Iratumumab,DB05550,NA
Regrelor,DB05553,CHEMBL1162175
Enokizumab,DB05555,NA
Delcasertib,DB05560,NA
Naluzotan,DB05562,CHEMBL209821
PBT-1033,DB05565,CHEMBL3634131
Motesanib,DB05575,CHEMBL572881
Ramucirumab,DB05578,NA
TRU-015,DB05580,NA
Verubulin,DB05585,CHEMBL492399
Facinicline,DB05586,CHEMBL2151439
Bedoradrine,DB05590,CHEMBL2111083
Cantuzumab ravtansine,DB05594,NA
Farletuzumab,DB05595,NA
PRX-03140,DB05596,CHEMBL3306918
Fibroblast growth factor-1,DB05599,NA
Beclanorsen,DB05606,NA
PRX-08066,DB05607,NA
MKC-1,DB05608,CHEMBL52885
Apilimod,DB05611,NA
CTCE-9908,DB05625,NA
Retaspimycin,DB05626,CHEMBL1184904
Sodium stibogluconate,DB05630,NA
ALT-2074,DB05631,NA
Glypromate,DB05633,CHEMBL371315
Asvasiran,DB05638,NA
DDP-225,DB05642,NA
KP-1461,DB05644,NA
Larazotide,DB05645,CHEMBL2105646
NTx-265,DB05649,NA
OT-551,DB05650,NA
VTP-201227,DB05652,NA
IRX-5183,DB05653,CHEMBL107430
Veltuzumab,DB05656,NA
faropenem medoxomil,DB05659,CHEMBL1257070
D-JNKI-1,DB05660,NA
NP-50301,DB05662,NA
Levoketoconazole,DB05667,CHEMBL295698
Palifosfamide,DB05668,CHEMBL889
AC-100,DB05671,NA
EP-2104R,DB05675,NA
Apremilast,DB05676,CHEMBL514800
Ustekinumab,DB05679,NA
Sotirimod,DB05680,CHEMBL2107373
Iodofiltic acid I-123,DB05683,CHEMBL3989901
FX06,DB05685,NA
Sivifene,DB05686,CHEMBL307697
BL-1020,DB05687,NA
CRx-119,DB05688,NA
NPS-2143,DB05695,CHEMBL180672
ALS-08,DB05705,NA
13-deoxydoxorubicin,DB05706,CHEMBL3249110
GTS-21,DB05708,CHEMBL134713
Gantacurium Chloride,DB05710,CHEMBL275321
AZD-9684,DB05712,NA
LY-517717,DB05713,CHEMBL1271162
Flovagatran,DB05714,NA
Maxy-G34,DB05718,NA
Elesclomol,DB05719,CHEMBL1972860
CGC-11047,DB05722,NA
ALKS 29,DB05723,NA
PMI-001,DB05730,NA
Strontium malonate,DB05732,NA
Cefilavancin,DB05735,NA
MIV-701,DB05736,NA
Varespladib methyl,DB05737,CHEMBL2105659
Vapitadine,DB05738,CHEMBL369075
CYT006-AngQb,DB05739,NA
RPI-78M,DB05740,NA
AGS-005,DB05741,NA
AGS-004,DB05742,NA
CRx-139,DB05744,NA
PF-03187207,DB05746,NA
R-851,DB05747,NA
MPI-674,DB05749,NA
AVE-1625,DB05750,NA
RP01,DB05751,NA
ALKS 27,DB05752,NA
VSF-173,DB05753,NA
IPH 1101,DB05754,NA
BF-37,DB05755,NA
PAC-113,DB05756,NA
DNB-001,DB05757,NA
CYT007-TNFQb,DB05758,NA
ATX-201,DB05765,NA
ACP-104,DB05766,NA
Andrographolide,DB05767,CHEMBL186141
Alkaline Phosphatase,DB05768,NA
LCP-AtorFen,DB05769,NA
LLL-3348,DB05771,NA
Rabeximod,DB05772,NA
Trastuzumab emtansine,DB05773,NA
CRx-401,DB05775,NA
IC41,DB05776,NA
Thrombomodulin Alfa,DB05777,NA
Col-118,DB05778,NA
Oglufanide,DB05779,CHEMBL2111029
ATX-101,DB05780,NA
LGD-1550,DB05785,NA
Irofulven,DB05786,CHEMBL118218
LM-609,DB05787,NA
MX6,DB05789,NA
SR 140333,DB05790,NA
Perflubron,DB05791,CHEMBL1200866
Arylacenamide,DB05792,NA
PRO-542,DB05793,NA
Serelaxin,DB05794,NA
YKP-10A,DB05795,NA
Daglutril,DB05796,NA
TNX-901,DB05797,NA
GEM-231,DB05798,NA
NOX-100,DB05799,NA
Alethine,DB05800,CHEMBL1183627
GTI 2040,DB05801,NA
ISIS 14803,DB05803,NA
Prasterone sulfate,DB05804,CHEMBL259898
NS-2359,DB05805,NA
Cositecan,DB05806,CHEMBL1997373
HGTV-43,DB05807,NA
PI-88,DB05808,NA
TA-CIN,DB05809,NA
99mTc-glucarate,DB05810,NA
HSV-2 theracine,DB05811,NA
Abiraterone,DB05812,CHEMBL254328
GPI-1485,DB05814,NA
GnRH pharmaccine,DB05815,NA
Laromustine,DB05817,CHEMBL167691
SGN-15,DB05818,NA
NBI-6024,DB05819,NA
DP-b99,DB05820,NA
DP-VPA,DB05821,NA
CNS-5161,DB05824,CHEMBL41306
NCX 1015,DB05825,NA
Prolease-r-hFSH,DB05826,NA
G207,DB05827,NA
LU-31130,DB05828,NA
Parathyroid hormone,DB05829,NA
Trestolone,DB05830,NA
ING-1,DB05831,NA
PPI-1019,DB05832,NA
lymphotoxin beta receptor,DB05833,NA
OC-1012,DB05834,NA
NS-3728,DB05835,NA
AG-702,DB05836,NA
OSI-7836,DB05837,NA
OPC-51803,DB05838,CHEMBL332447
BG-777,DB05839,NA
AGI-1096,DB05840,NA
AI-128,DB05841,NA
AI-850,DB05842,NA
trans NV-04,DB05843,NA
NV-07a,DB05845,NA
Mito-4509,DB05846,NA
humanized SMART Anti-IL-12 Antibody,DB05848,NA
NCX 950,DB05849,NA
Biomed 101,DB05851,NA
cryopreserved human liver cells,DB05852,NA
CLX-0921,DB05854,NA
Rivanicline,DB05855,CHEMBL132966
CPD 923,DB05856,NA
Q-Derp1,DB05857,NA
BI-K0376,DB05858,NA
PI-166,DB05859,NA
PEG-Infergen,DB05860,NA
Tasquinimod,DB05861,CHEMBL2107784
TRX1,DB05863,NA
PPI-2458,DB05864,CHEMBL3527358
VIT-100,DB05865,NA
ETC-1001,DB05866,NA
99mTc-14 F7 Mab,DB05867,NA
Ciluprevir,DB05868,CHEMBL297884
Ethyl pyruvate,DB05869,CHEMBL173373
anti-alpha5Beta1-integrin antibody,DB05870,NA
UC-781,DB05871,CHEMBL54893
PA mAb,DB05872,NA
AVI-4020,DB05873,NA
AEOL 10150,DB05874,NA
substance P,DB05875,NA
PDE4,DB05876,NA
PYY3-36,DB05877,NA
AME-527,DB05879,NA
MBT-0312,DB05880,NA
EHT 0202,DB05881,NA
CHF 4227,DB05882,NA
ABX-PTH,DB05883,NA
HCV-086,DB05884,NA
Seletracetam,DB05885,CHEMBL3918017
NV-18,DB05886,NA
TAFA-93,DB05887,NA
MEM 1414,DB05888,NA
Inotuzumab ozogamicin,DB05889,NA
VEGF-AS,DB05890,NA
RI 624,DB05892,NA
GT 389-255,DB05894,NA
HGS-TR2J,DB05895,NA
Sirna-027,DB05896,NA
rhIGFBP-3,DB05897,NA
CERE-110,DB05898,NA
IT-101,DB05899,NA
KOS-1584,DB05903,NA
BLX-883,DB05904,NA
TD-2749,DB05905,NA
CCR5 mAb,DB05906,NA
RUS 3108,DB05911,NA
REN-850,DB05912,NA
OSI-930,DB05913,CHEMBL1614710
Mesenchymal Stem Cells,DB05914,NA
MYO-029,DB05915,NA
CT-011,DB05916,NA
LS11,DB05918,NA
DDP-200,DB05919,NA
RTA 744,DB05920,NA
NLX-P101,DB05924,NA
Dovitinib,DB05928,CHEMBL522892
GPI-0100,DB05929,NA
SB-559448,DB05930,NA
Pegdinetanib,DB05931,NA
Denibulin,DB05932,CHEMBL2111088
CVT-6883,DB05936,CHEMBL260933
Edonerpic,DB05938,NA
MK-0354,DB05939,CHEMBL456145
Resatorvid,DB05943,CHEMBL225157
Varlitinib,DB05944,CHEMBL2103842
MDX-1303,DB05945,NA
Contulakin-G,DB05950,NA
EVT-101,DB05956,CHEMBL3545349
ENMD-1198,DB05959,CHEMBL1080759
PPL-100,DB05961,CHEMBL168640
TAS-108,DB05966,NA
ANZ-100,DB05967,NA
PR-104,DB05968,NA
SNS-032,DB05969,CHEMBL296468
Archexin,DB05971,NA
Inosine 5'-sulfate,DB05973,NA
Transcrocetinate,DB05974,CHEMBL464792
Bardoxolone methyl,DB05983,CHEMBL1762621
RAF-265,DB05984,CHEMBL558752
Obeticholic acid,DB05990,CHEMBL566315
Plinabulin,DB05992,CHEMBL1096380
PRX-07034,DB05993,NA
Glembatumumab vedotin,DB05996,NA
Adomiparin,DB06005,NA
Aldoxorubicin,DB06013,CHEMBL2107818
Eteplirsen,DB06014,NA
Cariprazine,DB06016,CHEMBL2028019
AV-412,DB06021,NA
PA-1050040,DB06039,NA
Filanesib,DB06040,CHEMBL2347655
ZEN-012,DB06042,NA
Olaratumab,DB06043,NA
XTL-6865,DB06058,NA
AZD-8330,DB06061,CHEMBL3182621
CAM-2029,DB06063,NA
KAI-1455,DB06064,NA
XMT-1001,DB06069,NA
SNX-5422,DB06070,CHEMBL1195136
DTS-201,DB06071,NA
CTS-21166,DB06073,NA
Linsitinib,DB06075,CHEMBL1091644
Lumateperone,DB06077,CHEMBL3306803
ABT-869,DB06080,NA
Caplacizumab,DB06081,NA
PX-478,DB06082,NA
Tapinarof,DB06083,CHEMBL259571
Friulimicin B,DB06087,NA
ICA-105665,DB06089,NA
Bradanicline,DB06090,CHEMBL1258006
Evofosfamide,DB06091,CHEMBL260046
ABT-560,DB06093,NA
Apatorsen,DB06094,NA
NXN-188,DB06096,NA
GSK-923295,DB06097,NA
PRLX 93936,DB06098,NA
IMC-1C11,DB06101,NA
VX-148,DB06103,NA
Eldelumab,DB06116,NA
"1alpha,24S-Dihydroxyvitamin D2",DB06117,NA
Cenobamate,DB06119,CHEMBL3989949
L-aminocarnityl-succinyl-leucyl-argininal-diethylacetal,DB06124,NA
KRP-104,DB06127,NA
SVV-001,DB06129,NA
FAV-201,DB06130,NA
SNS-314,DB06134,CHEMBL482767
KX-01,DB06137,CHEMBL571546
IRL-1620,DB06138,NA
SUVN-502,DB06140,NA
Sertindole,DB06144,CHEMBL12713
Spiramycin,DB06145,NA
Sulfathiazole,DB06147,CHEMBL437
Mianserin,DB06148,CHEMBL6437
Teicoplanin,DB06149,NA
Sulfadimethoxine,DB06150,CHEMBL62193
Acetylcysteine,DB06151,CHEMBL600
Nylidrin,DB06152,CHEMBL114655
Pizotifen,DB06153,CHEMBL294951
Pentaerythritol Tetranitrate,DB06154,CHEMBL466659
Rimonabant,DB06155,CHEMBL111
Tesofensine,DB06156,CHEMBL3989690
Istaroxime,DB06157,CHEMBL2093999
Rubitecan,DB06159,NA
Garenoxacin,DB06160,CHEMBL215303
Opebacan,DB06161,NA
Lumiliximab,DB06162,NA
Plevitrexed,DB06163,CHEMBL126648
Fosdevirine,DB06166,CHEMBL3781845
Canakinumab,DB06168,NA
Indibulin,DB06169,CHEMBL49642
Paclitaxel trevatide,DB06171,NA
Noscapine,DB06174,CHEMBL364713
Romidepsin,DB06176,CHEMBL1998981
Glufosfamide,DB06177,CHEMBL2107143
Talotrexin,DB06178,CHEMBL590985
Darinaparsin,DB06179,CHEMBL3247378
Talabostat,DB06182,CHEMBL67279
Forodesine,DB06185,CHEMBL218291
Ipilimumab,DB06186,NA
Valtorcitabine,DB06187,CHEMBL2106499
Ispinesib,DB06188,CHEMBL228814
Solabegron,DB06190,CHEMBL208427
Zosuquidar,DB06191,NA
Nimotuzumab,DB06192,NA
Pixantrone,DB06193,CHEMBL167731
Elocalcitol,DB06194,NA
Seliciclib,DB06195,CHEMBL14762
Icatibant,DB06196,NA
Bimosiamose,DB06197,CHEMBL1215923
Alovudine,DB06198,CHEMBL105318
Atrasentan,DB06199,CHEMBL9194
Tedisamil,DB06200,CHEMBL113461
Rufinamide,DB06201,CHEMBL1201754
Lasofoxifene,DB06202,CHEMBL328190
Alogliptin,DB06203,CHEMBL376359
Tapentadol,DB06204,CHEMBL1201776
Hyaluronidase (Human Recombinant),DB06205,NA
Sugammadex,DB06206,NA
Silodosin,DB06207,CHEMBL24778
Prasugrel,DB06209,CHEMBL1201772
Eltrombopag,DB06210,CHEMBL461101
Doripenem,DB06211,CHEMBL491571
Tolvaptan,DB06212,NA
Regadenoson,DB06213,CHEMBL317052
Ferumoxytol,DB06215,NA
Asenapine,DB06216,CHEMBL3544974
Vernakalant,DB06217,CHEMBL2111112
Lacosamide,DB06218,CHEMBL58323
Dalbavancin,DB06219,NA
Alicaforsen,DB06224,NA
Rivaroxaban,DB06228,CHEMBL198362
Ocaperidone,DB06229,CHEMBL2104619
Nalmefene,DB06230,CHEMBL982
Caldaret,DB06231,CHEMBL2106572
Ridaforolimus,DB06233,CHEMBL2103839
Maribavir,DB06234,CHEMBL515408
Vadimezan,DB06235,CHEMBL71263
Elvucitabine,DB06236,CHEMBL38700
Avanafil,DB06237,CHEMBL1963681
Tariquidar,DB06240,CHEMBL348475
Clenoliximab,DB06241,NA
Eflornithine,DB06243,CHEMBL830
Trafermin,DB06244,NA
Lanoteplase,DB06245,NA
Exisulind,DB06246,CHEMBL488025
CX516,DB06247,CHEMBL136800
Amelubant,DB06248,CHEMBL1742420
Arzoxifene,DB06249,CHEMBL226267
Fluasterone,DB06250,NA
Dersalazine,DB06251,NA
Thioctic acid tromethamine,DB06253,NA
Incadronic acid,DB06255,CHEMBL53950
Bimoclomol,DB06258,CHEMBL2104595
Aviptadil,DB06260,CHEMBL2106041
Hexaminolevulinate,DB06261,CHEMBL1201784
Droxidopa,DB06262,CHEMBL2103827
Amrubicin,DB06263,CHEMBL1186894
Tolperisone,DB06264,CHEMBL1076211
Lonidamine,DB06266,CHEMBL1257030
Udenafil,DB06267,CHEMBL2103849
Sitaxentan,DB06268,CHEMBL282724
MAHDL01,DB06270,NA
Sulodexide,DB06271,NA
Maxacalcitol,DB06272,CHEMBL333950
Tocilizumab,DB06273,NA
Alvimopan,DB06274,CHEMBL270190
Tanomastat,DB06276,CHEMBL261932
Senicapoc,DB06280,CHEMBL405821
Torcetrapib,DB06281,CHEMBL479527
Levocetirizine,DB06282,CHEMBL1201191
Ziconotide,DB06283,NA
Teriparatide,DB06285,NA
Temsirolimus,DB06287,CHEMBL1201182
Amisulpride,DB06288,CHEMBL243712
Simeprevir,DB06290,CHEMBL501849
Dapagliflozin,DB06292,CHEMBL429910
Pegnivacogin,DB06293,NA
Pramiconazole,DB06295,CHEMBL175633
LX-2931,DB06297,CHEMBL1852164
Glesatinib,DB06302,CHEMBL3989914
Sonepcizumab,DB06305,NA
Onalespib,DB06306,CHEMBL1214827
Apoptone,DB06307,NA
Refametinib,DB06309,CHEMBL1236682
Motavizumab,DB06310,NA
Darapladib,DB06311,CHEMBL204021
Elotuzumab,DB06317,NA
AZX-100,DB06323,NA
Pegpleranib,DB06325,NA
Latiglutenase,DB06326,NA
Methoxyamine,DB06328,CHEMBL1213633
4-O-Demethylpenclomedine,DB06331,CHEMBL11122
Trodusquemine,DB06333,NA
Tucidinostat,DB06334,CHEMBL3621988
Saxagliptin,DB06335,CHEMBL385517
Elsiglutide,DB06336,NA
Coltuximab ravtansine,DB06342,NA
Fiboflapon,DB06346,CHEMBL1922660
Tezampanel,DB06354,CHEMBL3989703
Iclaprim,DB06358,CHEMBL134561
Lucatumumab,DB06360,NA
rsPSMA Vaccine,DB06361,NA
Becatecarin,DB06362,CHEMBL2107313
Sapacitabine,DB06365,CHEMBL2105681
Pertuzumab,DB06366,NA
Relacatib,DB06367,CHEMBL203665
Alamifovir,DB06368,CHEMBL106477
Indisulam,DB06370,CHEMBL77517
Siplizumab,DB06371,NA
Rilonacept,DB06372,NA
CHGN111,DB06376,NA
Calcitonin gene-related peptide,DB06379,NA
Xaliproden,DB06393,CHEMBL1512580
Abafungin,DB06395,CHEMBL3989547
Nicaraven,DB06397,CHEMBL1705525
Atacicept,DB06399,NA
Vitespen,DB06400,NA
Bazedoxifene,DB06401,CHEMBL46740
Telavancin,DB06402,CHEMBL507870
Ambrisentan,DB06403,CHEMBL1111
Human C1-esterase inhibitor,DB06404,NA
Idraparinux,DB06406,NA
Taribavirin,DB06408,CHEMBL2111108
Doxercalciferol,DB06410,CHEMBL1200810
Oxymetholone,DB06412,CHEMBL1200585
Armodafinil,DB06413,CHEMBL1201192
Etravirine,DB06414,CHEMBL308954
Calfactant,DB06415,NA
Cethromycin,DB06419,CHEMBL3989904
Annamycin,DB06420,NA
Declopramide,DB06421,CHEMBL1618378
Ticalopride,DB06422,CHEMBL2107465
Talnetant,DB06429,CHEMBL275544
Evernimicin,DB06431,NA
Tezacitabine,DB06433,CHEMBL2105467
Repifermin,DB06434,NA
Tarazepide,DB06435,CHEMBL1742455
Semaxanib,DB06436,CHEMBL276711
Tifacogin,DB06437,NA
Tyloxapol,DB06439,NA
Ravuconazole,DB06440,CHEMBL294029
Cangrelor,DB06441,CHEMBL334966
Avasimibe,DB06442,CHEMBL101309
Dexanabinol,DB06444,CHEMBL334533
Diethylnorspermine,DB06445,CHEMBL44083
Dotarizine,DB06446,CHEMBL2106316
Lonafarnib,DB06448,CHEMBL298734
Ilodecakin,DB06449,NA
Aprinocarsen,DB06451,NA
Mirostipen,DB06453,NA
Sarizotan,DB06454,CHEMBL220808
Meclinertant,DB06455,CHEMBL506981
Tecastemizole,DB06457,CHEMBL61301
Remacemide,DB06458,CHEMBL25843
Enrasentan,DB06460,CHEMBL431651
Squalamine,DB06461,CHEMBL444929
Apolizumab,DB06467,NA
Cariporide,DB06468,CHEMBL436559
Lestaurtinib,DB06469,CHEMBL175105
clomethiazole,DB06470,CHEMBL315795
Naxifylline,DB06471,NA
Fradafiban,DB06472,CHEMBL3085474
Ruplizumab,DB06475,NA
Sumanirole,DB06477,CHEMBL419792
Porfiromycin,DB06478,CHEMBL521078
Propentofylline,DB06479,CHEMBL1079905
Prucalopride,DB06480,CHEMBL117287
Manitimus,DB06481,NA
ALGRX 1207,DB06482,NA
Ropidoxuridine,DB06485,CHEMBL2103821
Enzastaurin,DB06486,CHEMBL300138
Mirococept,DB06492,NA
Velafermin,DB06493,NA
Sufugolix,DB06494,CHEMBL22055
Onercept,DB06495,NA
S-8510,DB06504,NA
Repinotan,DB06506,CHEMBL1614652
Muraglitazar,DB06510,CHEMBL186179
Deramciclane,DB06512,CHEMBL2104698
Resiniferatoxin,DB06515,NA
Edaglitazone,DB06519,CHEMBL3990804
Ertiprotafib,DB06521,CHEMBL184041
Levovirin,DB06523,CHEMBL274536
Ganstigmine,DB06525,CHEMBL121810
Tramiprosate,DB06527,CHEMBL149082
Ocinaplon,DB06529,CHEMBL2105199
Resiquimod,DB06530,CHEMBL383322
Pafuramidine,DB06532,CHEMBL319669
Ragaglitazar,DB06533,CHEMBL24683
Thrombopoietin,DB06534,NA
Etilevodopa,DB06535,CHEMBL1823681
Tesaglitazar,DB06536,CHEMBL282686
Robalzotan,DB06538,CHEMBL1628569
Astaxanthin,DB06543,CHEMBL1255871
Gavilimomab,DB06545,NA
Minodronic acid,DB06548,CHEMBL319144
Labradimil,DB06549,CHEMBL2105864
Bivatuzumab,DB06550,NA
Gaboxadol,DB06554,CHEMBL312443
Siramesine,DB06555,CHEMBL61479
Edifoligide,DB06556,NA
Lerdelimumab,DB06557,NA
Tezosentan,DB06558,CHEMBL61780
Lanimostim,DB06559,NA
Pascolizumab,DB06560,NA
Emfilermin,DB06562,NA
alpha-Hydroxy glycineamide,DB06568,NA
Rebimastat,DB06573,CHEMBL76222
Valomaciclovir,DB06575,CHEMBL2107301
Baminercept,DB06576,NA
Tonabersat,DB06578,CHEMBL318191
Adipiplon,DB06579,CHEMBL2103791
Celgosivir,DB06580,CHEMBL2110737
Bevirimat,DB06581,CHEMBL404519
Dextofisopam,DB06582,CHEMBL2107331
Fipamezole,DB06585,CHEMBL1255582
Cetilistat,DB06586,CHEMBL2103825
Mitemcinal,DB06587,CHEMBL2110756
Triphendiol,DB06588,NA
Pazopanib,DB06589,CHEMBL477772
Ceftaroline fosamil,DB06590,CHEMBL501122
Agomelatine,DB06594,CHEMBL10878
Midostaurin,DB06595,CHEMBL608533
Brostallicin,DB06598,CHEMBL1189025
Lexatumumab,DB06599,NA
Nemonoxacin,DB06600,CHEMBL1213456
Reslizumab,DB06602,NA
Panobinostat,DB06603,CHEMBL483254
Ilepatril,DB06604,CHEMBL3187812
Apixaban,DB06605,CHEMBL231779
Teplizumab,DB06606,NA
Catumaxomab,DB06607,NA
Tafenoquine,DB06608,CHEMBL298470
Odiparcil,DB06609,CHEMBL2107763
Omiganan,DB06610,NA
Pegsunercept,DB06611,NA
Mepolizumab,DB06612,NA
Peramivir,DB06614,CHEMBL139367
Bosutinib,DB06616,CHEMBL288441
Amdoxovir,DB06619,CHEMBL458876
Aplindore,DB06620,CHEMBL2110659
Flupirtine,DB06623,CHEMBL255044
Taranabant,DB06624,CHEMBL220360
Vipadenant,DB06625,CHEMBL447664
Axitinib,DB06626,CHEMBL1289926
Zibotentan,DB06629,CHEMBL1628688
Anacetrapib,DB06630,CHEMBL1800807
Casopitant,DB06634,CHEMBL1672054
Otamixaban,DB06635,CHEMBL46618
Isavuconazonium,DB06636,CHEMBL1183349
Dalfampridine,DB06637,CHEMBL284348
Quarfloxin,DB06638,CHEMBL3989407
Fispemifene,DB06640,CHEMBL2107341
Perifosine,DB06641,CHEMBL372764
Bevasiranib,DB06642,NA
Denosumab,DB06643,NA
Anamorelin,DB06645,CHEMBL2110579
Volociximab,DB06647,NA
Priralfinamide,DB06649,CHEMBL2107771
Ofatumumab,DB06650,NA
Vicriviroc,DB06652,CHEMBL82301
Safinamide,DB06654,CHEMBL396778
Liraglutide,DB06655,NA
